 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
127.0.0.1 - - [22/Jun/2019 18:06:56] "GET /getOffers HTTP/1.1" 200 -
127.0.0.1 - - [22/Jun/2019 18:07:13] "GET /getOffers HTTP/1.1" 200 -
127.0.0.1 - - [22/Jun/2019 18:09:00] "GET /getOffers HTTP/1.1" 200 -
127.0.0.1 - - [22/Jun/2019 18:09:05] "GET /getOffers HTTP/1.1" 200 -
127.0.0.1 - - [22/Jun/2019 18:09:07] "GET /getOffers HTTP/1.1" 200 -
127.0.0.1 - - [22/Jun/2019 18:13:26] "GET /getOffers HTTP/1.1" 200 -
127.0.0.1 - - [22/Jun/2019 18:13:37] "GET /getOffers HTTP/1.1" 200 -
127.0.0.1 - - [22/Jun/2019 18:19:33] "OPTIONS /getOffers HTTP/1.1" 200 -
127.0.0.1 - - [22/Jun/2019 18:19:39] "OPTIONS /getOffers HTTP/1.1" 200 -
127.0.0.1 - - [22/Jun/2019 18:23:33] "OPTIONS /getOffers HTTP/1.1" 200 -
127.0.0.1 - - [27/Jun/2019 19:54:46] "GET /ui/css/reset.css HTTP/1.1" 304 -
127.0.0.1 - - [27/Jun/2019 19:54:46] "GET /ui/css/typography.css HTTP/1.1" 304 -
127.0.0.1 - - [27/Jun/2019 19:54:47] "GET /ui/css/screen.css HTTP/1.1" 304 -
127.0.0.1 - - [27/Jun/2019 19:54:47] "GET /ui/lib/object-assign-pollyfill.js HTTP/1.1" 304 -
127.0.0.1 - - [27/Jun/2019 19:54:47] "GET /ui/lib/jquery-1.8.0.min.js HTTP/1.1" 304 -
127.0.0.1 - - [27/Jun/2019 19:54:47] "GET /ui/lib/jquery.slideto.min.js HTTP/1.1" 304 -
127.0.0.1 - - [27/Jun/2019 19:54:47] "GET /ui/lib/jquery.wiggle.min.js HTTP/1.1" 304 -
127.0.0.1 - - [27/Jun/2019 19:54:47] "GET /ui/lib/jquery.ba-bbq.min.js HTTP/1.1" 304 -
127.0.0.1 - - [27/Jun/2019 19:54:47] "GET /ui/lib/handlebars-4.0.5.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Jun/2019 19:54:47] "GET /ui/lib/lodash.min.js HTTP/1.1" 304 -
127.0.0.1 - - [27/Jun/2019 19:54:47] "GET /ui/lib/backbone-min.js HTTP/1.1" 304 -
127.0.0.1 - - [27/Jun/2019 19:54:47] "GET /ui/swagger-ui.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Jun/2019 19:54:47] "GET /ui/lib/highlight.9.1.0.pack.js HTTP/1.1" 304 -
127.0.0.1 - - [27/Jun/2019 19:54:47] "GET /ui/lib/highlight.9.1.0.pack_extended.js HTTP/1.1" 304 -
127.0.0.1 - - [27/Jun/2019 19:54:47] "GET /ui/lib/jsoneditor.min.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Jun/2019 19:54:47] "GET /ui/lib/marked.js HTTP/1.1" 304 -
127.0.0.1 - - [27/Jun/2019 19:54:47] "GET /ui/lib/swagger-oauth.js HTTP/1.1" 304 -
127.0.0.1 - - [27/Jun/2019 19:54:48] "GET /ui/images/logo_small.png HTTP/1.1" 304 -
127.0.0.1 - - [27/Jun/2019 19:54:48] "GET /ui/css/print.css HTTP/1.1" 304 -
127.0.0.1 - - [27/Jun/2019 19:54:48] "GET /swagger.json HTTP/1.1" 200 -
127.0.0.1 - - [27/Jun/2019 19:54:49] "GET /ui/images/throbber.gif HTTP/1.1" 304 -
127.0.0.1 - - [27/Jun/2019 19:54:49] "OPTIONS /getOffers HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2019 17:59:36] "GET /getOffers HTTP/1.1" 200 -
